"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"16484","440","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/help-scout.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16485","441","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/help-scout.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16491","463","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/hubspot.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16492","464","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/hubspot.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16496","303","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/index2.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16497","304","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/index2.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16504","466","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/infusionsoft.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16505","467","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/infusionsoft.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16510","437","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/intercom-messenger.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16511","438","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/intercom-messenger.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16517","450","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/intercom.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16519","449","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/intercom.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16524","448","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/kustomer.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16525","449","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/kustomer.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16531","437","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/less-annoying-crm.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16536","438","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/less-annoying-crm.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16537","445","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/nimble.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
